mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alphas,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.663727045059204,0.14285292068518513,2.37491774559021,0.5923964956539879,[0.0001873817422860383],{'alphas': [0.0001873817422860383]},0.7739634705831269,0.7756474040174645,0.7756646502643351,0.7750918416216422,0.0007979098773996101,7
3.984349568684896,0.28612035059939206,2.93625537554423,0.24970544908022277,[0.00021544346900318845],{'alphas': [0.00021544346900318845]},0.7739688611245692,0.775658036642162,0.7756563795254745,0.7750944257640686,0.0007958946767747028,5
4.951181729634603,1.6046067483912365,2.5719262758890786,0.2891140951837858,[0.0002477076355991711],{'alphas': [0.0002477076355991711]},0.7739581571718482,0.775664844827743,0.7756784253225063,0.7751004757740324,0.0008077602569788001,1
5.5829494794209795,0.842883864727958,2.5958213806152344,0.056959726124647836,[0.0002848035868435802],{'alphas': [0.0002848035868435802]},0.7739575001371203,0.7756729240266221,0.7756686715546087,0.7750996985727837,0.0008076581251592166,2
4.79531192779541,0.6783783298605177,2.379500071207682,0.27459511285088156,[0.00032745491628777284],{'alphas': [0.00032745491628777284]},0.773952532383242,0.7756838530311022,0.7756577969589965,0.7750980607911137,0.0008100807489190833,3
4.624104976654053,0.6433527468468577,2.866448481877645,0.23761519322468988,[0.00037649358067924675],{'alphas': [0.00037649358067924675]},0.7739579572047571,0.7756906897147392,0.7756438593380269,0.775097502085841,0.0008060066885782199,4
4.669831991195679,0.3722674181137974,2.685715357462565,0.32725244856552865,[0.00043287612810830614],{'alphas': [0.00043287612810830614]},0.7739488272787107,0.7757015531736906,0.7756270982579292,0.7750924929034436,0.0008092647607620254,6
4.727251688639323,0.2306787819909768,2.078420797983805,0.15433260993644943,[0.0004977023564332114],{'alphas': [0.0004977023564332114]},0.773931190181273,0.7757150726514621,0.7756073169321578,0.7750845265882976,0.000816717607086268,9
4.599939584732056,0.7293376871052983,2.0807949701944985,0.25471696603249433,[0.0005722367659350221],{'alphas': [0.0005722367659350221]},0.7739098708326858,0.7757202592976561,0.7755931796726641,0.775074436601002,0.0008251049950652395,15
3.9137984116872153,0.20705247884481628,2.7811149756113687,0.44765441361491637,[0.0006579332246575682],{'alphas': [0.0006579332246575682]},0.7738773219035953,0.7757339668625972,0.7755857759353944,0.7750656882338621,0.0008424769191341002,16
4.036141236623128,0.3728339821988213,2.385299285252889,0.20118371470405058,[0.000756463327554629],{'alphas': [0.000756463327554629]},0.7738455414194693,0.7757365231382214,0.77556436898164,0.775048811179777,0.0008537379966789808,17
5.099560101826985,0.025262109410475225,2.2507662773132324,0.20011185120479313,[0.0008697490026177834],{'alphas': [0.0008697490026177834]},0.7738036454572047,0.7757407237516775,0.7755730675173382,0.7750391455754068,0.0008763076171399512,18
5.064133723576863,0.24111165862710834,2.1354807217915854,0.38512226332155386,[0.001],{'alphas': [0.001]},0.7737680913084019,0.7757256140823805,0.7755490224830852,0.7750142426246226,0.0008841063191812396,19
